   Current data set:
   NAME =	PSP-SSEA-3	EXPNO =	1	PROCNO = 1
   DU   =	C:/NMR-Data/disk2/nmrsu

   Number   Integrated Region     Integral
     1     10.745     10.474         1.00000
     2      8.082      7.596         1.08723
     3      7.590      7.322         1.09088
     4      7.054      6.727         2.16912
     5      6.624      6.099         2.20434
     6      6.099      5.593         1.17388
     7      4.738      4.336         4.72518
     8      3.732      3.427         3.05712
     9      2.609      2.320         0.76593
    10      2.065      1.860         0.07469
    11      1.860      1.574         3.50082
    12      1.460      1.231         0.21147
    13      1.230      1.028         0.07637
    14      1.028      0.755         0.08321
